original_feature,mean_abs_coef,mean_positive_coef,max_positive_coef,mean_negative_coef,max_negative_coef,total_features,positive_features,negative_features,significant_features
discharge_disposition_id,0.4742039999071437,0.4308669635753606,1.4092781508023984,-0.5392095544048183,-3.544378897176841,25,15,10,13.0
number_inpatient,0.3408597278071848,0.3408597278071848,0.3408597278071848,,,1,1,0,1.0
race x gender,0.11853367788453771,0.1262967903759331,0.18774934082275552,-0.09524434041035147,-0.09524434041035147,4,3,1,0.0
age,0.09863079688480607,0.07995618607859281,0.14199912279045082,-0.12197406039257266,-0.32605023452028836,9,5,4,0.0
A1Cresult,0.09299540014253643,,,-0.09299540014253643,-0.15109332588060073,3,0,3,1.0
max_glu_serum,0.08972978558830381,0.08972978558830381,0.12946414005721696,,,3,3,0,1.0
gender x age,0.0897061392233251,0.03831304435020989,0.07491273412722554,-0.15394750781471914,-0.38099644951923445,9,5,4,0.0
diag,0.08856543617571017,0.08596042020109042,0.48161110609677515,-0.09194896267148062,-0.4806902099517194,200,113,87,39.0
number_emergency,0.07989593360254219,0.07989593360254219,0.07989593360254219,,,1,1,0,1.0
insulin,0.07423050720378682,0.07423050720378682,0.11274303716921154,,,2,2,0,1.0
medical_specialty,0.07147300981748528,0.05950763398440676,0.5253480357237018,-0.08129075409078049,-0.4686979601255469,71,32,39,8.0
num_medications,0.05475537881351417,0.05475537881351417,0.05475537881351417,,,1,1,0,1.0
admission_source_id,0.054328898463820025,0.05382126315835258,0.21348382472457933,-0.05449811023230918,-0.25863973294798,16,4,12,2.0
race,0.052099609147446324,0.00113833611017965,0.00113833611017965,-0.06908670015986855,-0.12201769155305432,4,1,3,0.0
metformin,0.048863298422820174,,,-0.048863298422820174,-0.11367400530883483,4,0,4,1.0
number_diagnoses,0.047277640925828396,0.047277640925828396,0.047277640925828396,,,1,1,0,1.0
admission_type_id,0.04643138299257586,0.07586525001199844,0.21175600025573033,-0.024355982728008912,-0.058270570415844755,7,3,4,1.0
glipizide,0.0453261728932232,0.09063485605464071,0.09063485605464071,-1.7489731805699492e-05,-1.7489731805699492e-05,2,1,1,1.0
repaglinide,0.044428872626470536,0.044428872626470536,0.07406141690691859,,,2,2,0,0.0
race x age,0.037947465293825526,0.0370420758524961,0.2816871883083318,-0.03895937114001725,-0.2627179605922852,36,19,17,0.0
rosiglitazone,0.035477207624636777,,,-0.035477207624636777,-0.06534302496401904,2,0,2,1.0
glimepiride,0.027034798434433162,5.085444005228611e-05,5.085444005228611e-05,-0.054018742428814034,-0.054018742428814034,2,1,1,0.0
glyburide,0.01935092099929183,,,-0.01935092099929183,-0.035110440018618586,2,0,2,0.0
pioglitazone,0.013022850534642364,0.00027989484225944143,0.00027989484225944143,-0.025765806227025286,-0.025765806227025286,2,1,1,0.0
num_lab_procedures,0.010596865399345297,0.010596865399345297,0.010596865399345297,,,1,1,0,0.0
num_procedures,0.005507354155722417,,,-0.005507354155722417,-0.005507354155722417,1,0,1,0.0
time_in_hospital,0.0021570541573185924,0.0021570541573185924,0.0021570541573185924,,,1,1,0,0.0
gender,0.001916706790543423,0.001916706790543423,0.001916706790543423,,,1,1,0,0.0
nateglinide,0.0013718793305979582,0.0026207672798727955,0.0026207672798727955,-0.0001229913813231211,-0.0001229913813231211,2,1,1,0.0
number_outpatient,0.00021087469459795164,0.00021087469459795164,0.00021087469459795164,,,1,1,0,0.0
